Full key,en,pl,hu,fr,Namespace,Group,Key,Source file
validation.lte.numeric,The :attribute must be less than or equal :value.,,"A(z) :attribute értékének kisebbnek vagy egyenlőnek kell lennie, mint :value.",L'attribut :attribute doit être inférieur ou égal à :value.,,validation,lte.numeric,{locale}.php
validation.lte.string,,,"A(z) :attribute karakterszámának kisebbnek vagy egyenlőnek kell lennie, mint :value karakter.",L'attribut :attribute doit avoir un nombre de caractères inférieur ou égal à :value.,,validation,lte.string,{locale}.php
validation.max.array,The :attribute may not have more than :max items.,,Az :attribute nem tartalmazhat :max-nál több elemet.,L'attribut :attribute ne peut pas contenir plus de :max éléments.,,validation,max.array,{locale}.php
validation.max.file,The :attribute may not be greater than :max kilobytes.,,"Az :attribute nem lehet nagyobb, mint :max kilobájt.",,,validation,max.file,{locale}.php
validation.max.numeric,The :attribute may not be greater than :max.,,"Az :attribute nem lehet nagyobb, mint :max.",,,validation,max.numeric,{locale}.php
validation.max.string,,,"A(z) :attribute nem lehet hosszabb, mint :max karakter.",,,validation,max.string,{locale}.php
validation.max_digits,,,Az :attribute mező nem tartalmazhat :max számjegynél többet.,Le champ :attribute ne doit pas contenir plus de :max chiffres.,,validation,max_digits,{locale}.php
validation.mimes,The :attribute must be a file of type: :values.,,A(z) :attribute tulajdonságnak egy :values ​​típusú fájlnak kell lennie.,L'attribut :attribute doit être un fichier de type : :values.,,validation,mimes,{locale}.php
validation.mimetypes,The :attribute must be a file of type: :values.,,A(z) :attribute tulajdonságnak egy :values ​​típusú fájlnak kell lennie.,L'attribut :attribute doit être un fichier de type : :values.,,validation,mimetypes,{locale}.php
validation.min.array,The :attribute must have at least :min items.,,A(z) :attribute tulajdonságnak legalább :min elemet kell tartalmaznia.,L'attribut :attribute doit avoir au moins :min éléments.,,validation,min.array,{locale}.php
validation.min.file,The :attribute must be at least :min kilobytes.,,A(z) :attribute tulajdonságnak legalább :min kilobájt méretűnek kell lennie.,L'attribut :attribute doit être d'au moins :min kilooctets.,,validation,min.file,{locale}.php
validation.min.numeric,The :attribute must be at least :min.,,A(z) :attribute tulajdonságnak legalább :min értékűnek kell lennie.,L'attribut :attribute doit être au moins :min.,,validation,min.numeric,{locale}.php
validation.min.string,The :attribute must be at least :min characters.,,A(z) :attribute mezőnek legalább :min karakter hosszúságúnak kell lennie.,L'attribut :attribute doit comporter au moins :min caractères.,,validation,min.string,{locale}.php
validation.min_digits,,,Az :attribute mezőnek legalább :min számjegyet kell tartalmaznia.,Le champ :attribute doit avoir au moins :min chiffres.,,validation,min_digits,{locale}.php
validation.missing,,,A(z) :attribute mezőnek hiányoznia kell.,Le champ :attribute doit être manquant.,,validation,missing,{locale}.php
validation.missing_if,,"A(z) :attribute mezőnek hiányoznia kell, ha a :other értéke :value.",Le champ :attribute doit être absent lorsque :other est :value.,,validation,missing_if,{locale}.php
validation.missing_unless,,"Az :attribute mezőnek hiányoznia kell, kivéve, ha az :other nem :value.",Le champ :attribute doit être absent sauf si :other est :value.,,validation,missing_unless,{locale}.php
validation.missing_with,,"A(z) :attribute mezőnek hiányoznia kell, ha a(z) :values ​​jelen van.",Le champ :attribute doit être absent lorsque :values ​​est présent.,,validation,missing_with,{locale}.php
validation.missing_with_all,,"Az :attribute mezőnek hiányoznia kell, ha :values ​​értékek vannak jelen.",Le champ :attribute doit être absent lorsque :values ​​est présent.,,validation,missing_with_all,{locale}.php
validation.multiple_of,,,Az :attribute mezőnek a :value többszörösének kell lennie.,Le champ :attribute doit être un multiple de :value.,,validation,multiple_of,{locale}.php
validation.not_in,,,A kiválasztott :attribute érvénytelen.,L'attribut sélectionné :attribute est invalide.,,validation,not_in,{locale}.php
validation.not_regex,The :attribute format is invalid.,,A(z) :attribute formátuma érvénytelen.,Le format :attribute est invalide.,,validation,not_regex,{locale}.php
validation.numeric,The :attribute must be a number.,,A :attribute-nak számnak kell lennie.,L'attribut :attribute doit être un nombre.,,validation,numeric,{locale}.php
validation.password,The password is incorrect.,,A jelszó helytelen.,,,validation,password,{locale}.php
validation.present,,,A :attribute mezőnek jelen kell lennie.,Le champ :attribute doit être présent.,,validation,present,{locale}.php
validation.present_if,,"Az :attribute mezőnek jelen kell lennie, ha az :other értéke :value.",Le champ :attribute doit être présent lorsque :other est :value.,,validation,present_if,{locale}.php
validation.present_unless,,"Az :attribute mezőnek jelen kell lennie, kivéve, ha az :other nem :value.",Le champ :attribute doit lenni, ha az :other nem :value.,,validation,present_unless,{locale}.php
validation.present_with,,"Az :attribute mezőnek jelen kell lennie, ha a :values ​​is jelen van.",Le champ :attribute doit être présent lorsque :values ​​est présent.,,validation,present_with,{locale}.php
validation.present_with_all,,"Az :attribute mezőnek jelen kell lennie, ha a :values ​​értékek jelen vannak.",Le champ :attribute doit être présent lorsque :values ​​est présent.,,validation,present_with_all,{locale}.php
validation.prohibited,,,A :attribute mező használata tiltott.,Le champ :attribute est interdit.,,validation,prohibited,{locale}.php
validation.prohibited_if,,"Az :attribute mező használata tilos, ha az :other értéke :value.",Le champ :attribute est interdit lorsque :other est :value.,,validation,prohibited_if,{locale}.php
validation.prohibited_if_accepted,,"Az :attribute mező tiltott, ha az :other elfogadott.",Le champ :attribute est interdit lorsque :other est accepté.,,validation,prohibited_if_accepted,{locale}.php
validation.prohibited_if_declined,,"Az :attribute mező tiltott, ha az :other elutasításra kerül.",Le champ :attribute est interdit lorsque :other est refusé.,,validation,prohibited_if_declined,{locale}.php
validation.prohibited_unless,,"Az :attribute mező használata tiltott, kivéve, ha az :other szerepel a :values ​​változóban.",Le champ :attribute est interdit sauf si :other est présent dans :values.,,validation,prohibited_unless,{locale}.php
validation.prohibits,,,Az :attribute mező tiltja a :other jelenlétét.,Le champ :attribute interdit la présence de :other.,,validation,prohibits,{locale}.php
validation.regex,The :attribute format is invalid.,,A(z) :attribute formátuma érvénytelen.,Le format :attribute est invalide.,,validation,regex,{locale}.php
validation.required,,,A(z) :attribute mező kitöltése kötelező.,Le champ :attribute est obligatoire.,,validation,required,{locale}.php
validation.required_array_keys,,,Az :attribute mezőnek a következő bejegyzéseket kell tartalmaznia: :values.,Le champ :attribute doit contenir des entrées pour :values.,,validation,required_array_keys,{locale}.php
validation.required_if,,"Az :attribute mező kitöltése kötelező, ha az :other értéke :value.",Le champ :attribute est obligatoire lorsque :other est :value.,,validation,required_if,{locale}.php
validation.required_if_accepted,,"Az :attribute mező kitöltése kötelező, ha az :other elfogadott.",Le champ :attribute est obligatory, ha az :other elfogadott.,,validation,required_if_accepted,{locale}.php
validation.required_if_declined,,"A :attribute mező kitöltése kötelező, ha a :other mezőt elutasítják.",Le champ :attribute est obligatoire lorsque :other est refusé.,,validation,required_if_declined,{locale}.php
validation.required_unless,,"Az :attribute mező kitöltése kötelező, kivéve, ha az :other szerepel a :values ​​változóban.",Le champ :attribute est obligatoire sauf si :other est présent dans :values.,,validation,required_unless,{locale}.php
validation.required_with,,"Az :attribute mező kitöltése kötelező, ha a :values jelen van.",Le champ :attribute est obligatoire lorsque :values ​​est présent.,,validation,required_with,{locale}.php
validation.required_with_all,,"Az :attribute mező kitöltése kötelező, ha :values értékek vannak jelen.",Le champ :attribute est obligatoire lorsque :values ​​est présent.,,validation,required_with_all,{locale}.php
validation.required_without,,"Az :attribute mező kitöltése kötelező, ha a :values nincs jelen.",Le champ :attribute est obligatoire lorsque :values ​​est absent.,,validation,required_without,{locale}.php
validation.required_without_all,,"Az :attribute mező kitöltése kötelező, ha a :values egyik értéke sem található meg.",Le champ :attribute est obligatoire lorsqu'aucune valeur :value n'est présente.,,validation,required_without_all,{locale}.php
validation.same,The :attribute and :other must match.,,A(z) :attribute és a(z) :other paramétereknek egyezniük kell.,Les attributs :attribute et :other doivent correspondre.,,validation,same,{locale}.php
validation.size.array,The :attribute must contain :size items.,,Az :attribute tulajdonságnak :size elemeket kell tartalmaznia.,L'attribut :attribute doit contenir des éléments :size.,,validation,size.array,{locale}.php
validation.size.file,The :attribute must be :size kilobytes.,,A(z) :attribute értékének :size kilobájtnak kell lennie.,L'attribut :attribute doit être :size kilobytes.,,validation,size.file,{locale}.php
validation.size.numeric,The :attribute must be :size.,,A(z) :attribute értékének :size-nek kell lennie.,L'attribut :attribute doit être :size.,,validation,size.numeric,{locale}.php
validation.size.string,,,"A(z) :attribute karaktereknek kell lenniük: :size.",L'attribut :attribute doit avoir une taille de caractères.,,validation,size.string,{locale}.php
validation.starts_with,The :attribute must start with one of the following: :values.,,A(z) :attribute tulajdonságnak a következők egyikével kell kezdődnie: :values.,L'attribut :attribute doit commencer par l'une des valeurs suivantes : :values.,,validation,starts_with,{locale}.php
validation.string,The :attribute must be a string.,,A :attribute-nak karakterláncnak kell lennie.,L'attribut :attribute doit être une chaîne de caractères.,,validation,string,{locale}.php
validation.timezone,The :attribute must be a valid zone.,,A(z) :attribute tulajdonságnak érvényes zónának kell lennie.,L'attribut :attribute doit correspondre à une zone valide.,,validation,timezone,{locale}.php
validation.ulid,,,Az :attribute mezőnek érvényes ULID-nak kell lennie.,Le champ :attribute doit être un ULID valide.,,validation,ulid,{locale}.php
validation.unique,,,A(z) :attribute már foglalt.,L'attribut :attribute a déjà été utilisé.,,validation,unique,{locale}.php
validation.uploaded,,,A(z) :attribute feltöltése sikertelen.,Le fichier :attribute n'a pas pudo ser cargado.,,validation,uploaded,{locale}.php
validation.uppercase,,,Az :attribute mezőnek nagybetűsnek kell lennie.,Le champ :attribute doit être en majuscules.,,validation,uppercase,{locale}.php
validation.url,The :attribute format is invalid.,,A(z) :attribute formátuma érvénytelen.,Le format :attribute est invalide.,,validation,url,{locale}.php
validation.size.numeric,The :attribute must be :size.,,A(z) :attribute értékének :size-nek kell lennie.,L'attribut :attribute doit être :size.,,validation,size.numeric,{locale}.php
validation.size.string,The :attribute must be :size characters.,,A(z) :attribute karaktereknek kell lenniük: :size.,L'attribut :attribute doit avoir une taille de caractères.,,validation,size.string,{locale}.php
validation.starts_with,The :attribute must start with one of the following: :values.,,A(z) :attribute tulajdonságnak a következők egyikével kell kezdődnie: :values.,L'attribut :attribute doit commencer par l'une des valeurs suivantes : :values.,,validation,starts_with,{locale}.php
validation.string,The :attribute must be a string.,,A :attribute-nak karakterláncnak kell lennie.,L'attribut :attribute doit être une chaîne de caractères.,,validation,string,{locale}.php
validation.timezone,The :attribute must be a valid zone.,,A(z) :attribute tulajdonságnak érvényes zónának kell lennie.,L'attribut :attribute doit correspondre à une zone valide.,,validation,timezone,{locale}.php
validation.unique,,,,,,validation,unique,{locale}.php
